year_ceremony,film,winner,category
2002,Shrek,False,Visual Effects
2002,Harry Potter and the Philosopher's Stone,False,Visual Effects
2002,A.I. Artificial Intelligence,False,Visual Effects
2002,The Lord of the Rings: The Fellowship of the Ring,True,Visual Effects
2002,Moulin Rouge,False,Visual Effects
2003,The Lord of the Rings: The Two Towers,True,Visual Effects
2003,Spider-Man,False,Visual Effects
2003,Minority Report,False,Visual Effects
2003,Harry Potter and the Chamber of Secrets,False,Visual Effects
2003,Gangs of New York,False,Visual Effects
2004,The Lord of the Rings: The Return of the King,True,Visual Effects
2004,Big Fish,False,Visual Effects
2004,Pirates of the Caribbean: The Curse of the Black Pearl,False,Visual Effects
2004,Master and Commander: The Far Side of the World,False,Visual Effects
2004,Kill Bill: Volume 1,False,Visual Effects
2005,The Day After Tomorrow,True,Visual Effects
2005,The Aviator,False,Visual Effects
2005,Harry Potter and the Prisoner of Azkaban,False,Visual Effects
2005,House of Flying Daggers,False,Visual Effects
2005,Spider-Man 2,False,Visual Effects
2006,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",False,Visual Effects
2006,Harry Potter and the Goblet of Fire,False,Visual Effects
2006,King Kong,True,Visual Effects
2006,Batman Begins,False,Visual Effects
2006,Charlie and the Chocolate Factory,False,Visual Effects
2007,Pan's Labyrinth,False,Visual Effects
2007,Superman Returns,False,Visual Effects
2007,Children of Men,False,Visual Effects
2007,Casino Royale,False,Visual Effects
2007,Pirates of the Caribbean: Dead Man's Chest,True,Visual Effects
2008,Harry Potter and the Order of the Phoenix,False,Visual Effects
2008,Pirates of the Caribbean: At World's End,False,Visual Effects
2008,Spider-Man 3,False,Visual Effects
2008,The Golden Compass,True,Visual Effects
2008,The Bourne Ultimatum,False,Visual Effects
2009,Iron Man,False,Visual Effects
2009,The Curious Case of Benjamin Button,True,Visual Effects
2009,The Dark Knight,False,Visual Effects
2009,Indiana Jones and the Kingdom of the Crystal Skull,False,Visual Effects
2009,Quantum of Solace,False,Visual Effects
2010,Avatar,True,Visual Effects
2010,District 9,False,Visual Effects
2010,Star Trek,False,Visual Effects
2010,The Hurt Locker,False,Visual Effects
2010,Harry Potter and the Half-Blood Prince,False,Visual Effects
2011,Black Swan,False,Visual Effects
2011,Harry Potter and the Deathly Hallows Part 1,False,Visual Effects
2011,Toy Story 3,False,Visual Effects
2011,Inception,True,Visual Effects
2011,Alice in Wonderland,False,Visual Effects
2012,The Adventures of Tintin: The Secret of the Unicorn,False,Visual Effects
2012,Hugo,False,Visual Effects
2012,Rise of the Planet of the Apes,False,Visual Effects
2012,War Horse,False,Visual Effects
2012,Harry Potter and the Deathly Hallows Part 2,True,Visual Effects
2013,Prometheus,False,Visual Effects
2013,The Hobbit An Unexpected Journey,False,Visual Effects
2013,Life of Pi,True,Visual Effects
2013,The Avengers,False,Visual Effects
2013,The Dark Knight Rises,False,Visual Effects
2014,The Hobbit: The Desolation of Smaug,False,Visual Effects
2014,Gravity,True,Visual Effects
2014,Iron Man 3,False,Visual Effects
2014,Star Trek Into Darkness,False,Visual Effects
2014,Pacific Rim,False,Visual Effects
2015,The Hobbit: The Battle of the Five Armies,False,Visual Effects
2015,Dawn of the Planet of the Apes,False,Visual Effects
2015,Interstellar,True,Visual Effects
2015,Guardians of the Galaxy,False,Visual Effects
2015,X-Men: Days of Future Past,False,Visual Effects
2016,The Martian,False,Visual Effects
2016,Ex Machina,False,Visual Effects
2016,Ant-Man,False,Visual Effects
2016,Star Wars: The Force Awakens,True,Visual Effects
2016,Mad Max: Fury Road,False,Visual Effects
2017,The Jungle Book,True,Visual Effects
2017,Arrival,False,Visual Effects
2017,Doctor Strange,False,Visual Effects
2017,Rogue One: A Star Wars Story,False,Visual Effects
2017,Fantastic Beasts and Where to Find Them,False,Visual Effects
2018,Blade Runner 2049,True,Visual Effects
2018,Dunkirk,False,Visual Effects
2018,The Shape of Water,False,Visual Effects
2018,Star Wars: The Last Jedi,False,Visual Effects
2018,War of the Planet of the Apes,False,Visual Effects
2019,Fantastic Beasts: The Crimes of Grindelwald,False,Visual Effects
2019,Ready Player One,False,Visual Effects
2019,Black Panther,True,Visual Effects
2019,Avengers: Infinity War,False,Visual Effects
2019,First Man,False,Visual Effects
2020,1917,True,Visual Effects
2020,Avengers: Endgame,False,Visual Effects
2020,The Irishman,False,Visual Effects
2020,The Lion King,False,Visual Effects
2020,Star Wars: The Rise of Skywalker,False,Visual Effects
2021,The Midnight Sky,False,Visual Effects
2021,Mulan,False,Visual Effects
2021,The One and Only Ivan,False,Visual Effects
2021,Tenet,True,Visual Effects
2021,Greyhound,False,Visual Effects
2022,Ghostbusters: Afterlife,False,Visual Effects
2022,The Matrix Resurrections,False,Visual Effects
2022,Free Guy,False,Visual Effects
2022,Dune,True,Visual Effects
2022,No Time to Die,False,Visual Effects
2023,All Quiet on the Western Front,False,Visual Effects
2023,The Batman,False,Visual Effects
2023,Everything Everywhere All at Once,False,Visual Effects
2023,Top Gun: Maverick,False,Visual Effects
2023,Avatar: The Way of Water,True,Visual Effects
2002,Mullholland Drive,True,Film Editing
2002,Amélie,False,Film Editing
2002,Black Hawk Down,False,Film Editing
2002,The Lord of the Rings: The Fellowship of the Ring,False,Film Editing
2002,Moulin Rouge,False,Film Editing
2003,City of God,True,Film Editing
2003,Chicago,False,Film Editing
2003,Gangs of New York,False,Film Editing
2003,The Hours,False,Film Editing
2003,The Lord of the Rings: The Two Towers,False,Film Editing
2004,Lost in Translation,True,Film Editing
2004,21 Grams,False,Film Editing
2004,Cold Mountain,False,Film Editing
2004,Kill Bill: Volume 1,False,Film Editing
2004,The Lord of the Rings: The Return of the King,False,Film Editing
2005,Eternal Sunshine of the Spotless Mind,True,Film Editing
2005,The Aviator,False,Film Editing
2005,Collateral,False,Film Editing
2005,House of Flying Daggers,False,Film Editing
2005,Vera Drake,False,Film Editing
2006,The Constant Gardener,True,Film Editing
2006,Brokeback Mountain,False,Film Editing
2006,Crash,False,Film Editing
2006,"Good Night, and Good Luck.",False,Film Editing
2006,March of the Penguins,False,Film Editing
2007,United 93,True,Film Editing
2007,Babel,False,Film Editing
2007,Casino Royale,False,Film Editing
2007,The Departed,False,Film Editing
2007,The Queen,False,Film Editing
2008,The Bourne Ultimatum,True,Film Editing
2008,American Gangster,False,Film Editing
2008,Atonement,False,Film Editing
2008,Michael Clayton,False,Film Editing
2008,No Country for Old Men,False,Film Editing
2009,Slumdog Millionaire,True,Film Editing
2009,Changeling,False,Film Editing
2009,The Curious Case of Benjamin Button,False,Film Editing
2009,The Dark Knight,False,Film Editing
2009,Frost/Nixon,False,Film Editing
2009,In Bruges,False,Film Editing
2010,The Hurt Locker,True,Film Editing
2010,Avatar,False,Film Editing
2010,District 9,False,Film Editing
2010,Inglourious Basterds,False,Film Editing
2010,Up in the Air,False,Film Editing
2011,The Social Network,True,Film Editing
2011,127 Hours,False,Film Editing
2011,Black Swan,False,Film Editing
2011,Inception,False,Film Editing
2011,The King's Speech,False,Film Editing
2012,Senna,True,Film Editing
2012,The Artist,False,Film Editing
2012,Drive,False,Film Editing
2012,Hugo,False,Film Editing
2012,Tinker Tailor Soldier Spy,False,Film Editing
2013,Argo,True,Film Editing
2013,Django Unchained,False,Film Editing
2013,Life of Pi,False,Film Editing
2013,Skyfall,False,Film Editing
2013,Zero Dark Thrirty,False,Film Editing
2014,Rush,True,Film Editing
2014,12 Years a Slave,False,Film Editing
2014,Captain Phillips,False,Film Editing
2014,Gravity,False,Film Editing
2014,The Wolf of Wall Street,False,Film Editing
2015,Whiplash,True,Film Editing
2015,Birdman,False,Film Editing
2015,The Grand Budapest Hotel,False,Film Editing
2015,The Imitation Game,False,Film Editing
2015,Nightcrawler,False,Film Editing
2015,The Theory of Everything,False,Film Editing
2016,Mad Max: Fury Road,True,Film Editing
2016,The Big Short,False,Film Editing
2016,Bridge of Spies,False,Film Editing
2016,The Martian,False,Film Editing
2016,The Revenant,False,Film Editing
2017,Hacksaw Ridge,True,Film Editing
2017,Arrival,False,Film Editing
2017,La La Land,False,Film Editing
2017,Manchester by the Sea,False,Film Editing
2017,Nocturnal Animals,False,Film Editing
2018,Baby Driver,True,Film Editing
2018,Blade Runner 2049,False,Film Editing
2018,Dunkirk,False,Film Editing
2018,The Shape of Water,False,Film Editing
2018,"Three Billboards Outside Ebbing, Missouri",False,Film Editing
2019,Vice,True,Film Editing
2019,Bohemian Rhapsody,False,Film Editing
2019,The Favourite,False,Film Editing
2019,First Man,False,Film Editing
2019,Roma,False,Film Editing
2020,Ford v Ferrari,True,Film Editing
2020,The Irishman,False,Film Editing
2020,Jojo Rabbit,False,Film Editing
2020,Joker,False,Film Editing
2020,Once Upon a Time in Hollywood,False,Film Editing
2021,Sound of Metal,True,Film Editing
2021,The Father,False,Film Editing
2021,Nomadland,False,Film Editing
2021,Promising Young Woman,False,Film Editing
2021,The Trial of the Chicago 7,False,Film Editing
2022,No Time to Die,True,Film Editing
2022,Belfast,False,Film Editing
2022,Dune,False,Film Editing
2022,Licorice Pizza,False,Film Editing
2022,Summer of Soul,False,Film Editing
2023,Everything Everywhere All at Once,True,Film Editing
2023,All Quiet on the Western Front,False,Film Editing
2023,The Banshees of Inisherin,False,Film Editing
2023,Elvis,False,Film Editing
2023,Top Gun: Maverick,False,Film Editing
2002,The Lord of the Rings: The Fellowship of the Ring,True,Best Picture
2002,Amélie,False,Best Picture
2002,A Beautiful Mind,False,Best Picture
2002,Moulin Rouge,False,Best Picture
2002,Shrek,False,Best Picture
2003,The Pianist,True,Best Picture
2003,Chicago,False,Best Picture
2003,Gangs of New York,False,Best Picture
2003,The Hours,False,Best Picture
2003,The Lord of the Rings: The Two Towers,False,Best Picture
2004,The Lord of the Rings: The Return of the King,True,Best Picture
2004,Big Fish,False,Best Picture
2004,Cold Mountain,False,Best Picture
2004,Lost in Translation,False,Best Picture
2004,Master and Commander: The Far Side of the World,False,Best Picture
2005,The Aviator,True,Best Picture
2005,Eternal Sunshine of the Spotless Mind,False,Best Picture
2005,Finding Neverland,False,Best Picture
2005,The Motorcycle Diaries,False,Best Picture
2005,Vera Drake,False,Best Picture
2006,Brokeback Mountain,True,Best Picture
2006,Capote,False,Best Picture
2006,The Constant Gardener,False,Best Picture
2006,Crash,False,Best Picture
2006,"Good Night, and Good Luck.",False,Best Picture
2007,The Queen,True,Best Picture
2007,Babel,False,Best Picture
2007,The Departed,False,Best Picture
2007,The Last King of Scotland,False,Best Picture
2007,Little Miss Sunshine,False,Best Picture
2008,Atonement,True,Best Picture
2008,American Gangster,False,Best Picture
2008,The Lives of Others,False,Best Picture
2008,No Country for Old Men,False,Best Picture
2008,There Will Be Blood,False,Best Picture
2009,Slumdog Millionaire,True,Best Picture
2009,The Curious Case of Benjamin Button,False,Best Picture
2009,Frost/Nixon,False,Best Picture
2009,Milk,False,Best Picture
2009,The Reader,False,Best Picture
2010,The Hurt Locker,True,Best Picture
2010,Avatar,False,Best Picture
2010,An Education,False,Best Picture
2010,Precious,False,Best Picture
2010,Up in the Air,False,Best Picture
2011,The King's Speech,True,Best Picture
2011,Black Swan,False,Best Picture
2011,Inception,False,Best Picture
2011,The Social Network,False,Best Picture
2011,True Grit,False,Best Picture
2012,The Artist,True,Best Picture
2012,The Descendants,False,Best Picture
2012,Drive,False,Best Picture
2012,The Help,False,Best Picture
2012,Tinker Tailor Soldier Spy,False,Best Picture
2013,Argo,True,Best Picture
2013,Les Misérables,False,Best Picture
2013,Life of Pi,False,Best Picture
2013,Lincoln,False,Best Picture
2013,Zero Dark Thirty,False,Best Picture
2014,12 Years a Slave,True,Best Picture
2014,American Hustle,False,Best Picture
2014,Captain Phillips,False,Best Picture
2014,Gravity,False,Best Picture
2014,Philomena,False,Best Picture
2015,Boyhood,True,Best Picture
2015,Birdman,False,Best Picture
2015,The Grand Budapest Hotel,False,Best Picture
2015,The Imitation Game,False,Best Picture
2015,The Theory of Everything,False,Best Picture
2016,The Revenant,True,Best Picture
2016,The Big Short,False,Best Picture
2016,Bridge of Spies,False,Best Picture
2016,Carol,False,Best Picture
2016,Spotlight,False,Best Picture
2017,La La Land,True,Best Picture
2017,Arrival,False,Best Picture
2017,"I, Daniel Blake",False,Best Picture
2017,Manchester by the Sea,False,Best Picture
2017,Moonlight,False,Best Picture
2018,"Three Billboards Outside Ebbing, Missouri",True,Best Picture
2018,Call Me by Your Name,False,Best Picture
2018,Darkest Hour,False,Best Picture
2018,Dunkirk,False,Best Picture
2018,The Shape of Water,False,Best Picture
2019,Roma,True,Best Picture
2019,BlacKkKlansman,False,Best Picture
2019,The Favourite,False,Best Picture
2019,Green Book,False,Best Picture
2019,A Star is Born,False,Best Picture
2020,1917,True,Best Picture
2020,The Irishman,False,Best Picture
2020,Joker,False,Best Picture
2020,Once Upon a Time in Hollywood,False,Best Picture
2020,Parasite,False,Best Picture
2021,Nomadland,True,Best Picture
2021,The Father,False,Best Picture
2021,The Mauritanian,False,Best Picture
2021,Promising Young Woman,False,Best Picture
2021,The Trial of the Chicago 7,False,Best Picture
2022,The Power of the Dog,True,Best Picture
2022,Belfast,False,Best Picture
2022,Don't Look Up,False,Best Picture
2022,Dune,False,Best Picture
2022,Licorice Pizza,False,Best Picture
2023,All Quiet on the Western Front,True,Best Picture
2023,The Banshees of Inisherin,False,Best Picture
2023,Elvis,False,Best Picture
2023,Everything Everywhere All at Once,False,Best Picture
2023,Tár,False,Best Picture
2007,Happy Feet,True,Animated Feature Film
2007,Cars,False,Animated Feature Film
2007,Flushed Away,False,Animated Feature Film
2008,Ratatouille,True,Animated Feature Film
2008,Shrek the Third,False,Animated Feature Film
2008,The Simpsons Movie,False,Animated Feature Film
2009,WALL-E,True,Animated Feature Film
2009,Persepolis,False,Animated Feature Film
2009,Waltz with Bashir,False,Animated Feature Film
2010,Up,True,Animated Feature Film
2010,Coraline,False,Animated Feature Film
2010,Fantastic Mr. Fox,False,Animated Feature Film
2011,Toy Story 3,True,Animated Feature Film
2011,Despicable Me,False,Animated Feature Film
2011,How to Train Your Dragon,False,Animated Feature Film
2012,Rango,True,Animated Feature Film
2012,The Adventures of Tintin,False,Animated Feature Film
2012,Arthur Christmas,False,Animated Feature Film
2013,Brave,True,Animated Feature Film
2013,Frankenweenie,False,Animated Feature Film
2013,ParaNorman,False,Animated Feature Film
2014,Frozen,True,Animated Feature Film
2014,Despicable Me 2,False,Animated Feature Film
2014,Monsters University,False,Animated Feature Film
2015,The Lego Movie,True,Animated Feature Film
2015,Big Hero 6,False,Animated Feature Film
2015,The Boxtrolls,False,Animated Feature Film
2016,Inside Out,True,Animated Feature Film
2016,Minions,False,Animated Feature Film
2016,Shaun the Sheep Movie,False,Animated Feature Film
2017,Kubo and the Two Strings,True,Animated Feature Film
2017,Finding Dory,False,Animated Feature Film
2017,Moana,False,Animated Feature Film
2017,Zootopia,False,Animated Feature Film
2018,Coco,True,Animated Feature Film
2018,Loving Vincent,False,Animated Feature Film
2018,My Life as a Courgette,False,Animated Feature Film
2019,Spider-Man: Into the Spider-Verse,True,Animated Feature Film
2019,Incredibles 2,False,Animated Feature Film
2019,Isle of Dogs,False,Animated Feature Film
2020,Klaus,True,Animated Feature Film
2020,Frozen II,False,Animated Feature Film
2020,A Shaun the Sheep Movie: Farmageddon,False,Animated Feature Film
2020,Toy Story 4,False,Animated Feature Film
2021,Soul,True,Animated Feature Film
2021,Onward,False,Animated Feature Film
2021,Wolfwalkers,False,Animated Feature Film
2022,Encanto,True,Animated Feature Film
2022,Flee,False,Animated Feature Film
2022,Luca,False,Animated Feature Film
2022,The Mitchells vs. the Machines,False,Animated Feature Film
2023,Guillermo del Toro's Pinocchio,True,Animated Feature Film
2023,Marcel the Shell with Shoes On,False,Animated Feature Film
2023,Puss in Boots: The Last Wish,False,Animated Feature Film
2023,Turning Red,False,Animated Feature Film
2002,Amores Perros,True,International Feature Film
2002,Amélie,False,International Feature Film
2002,Behind the Sun,False,International Feature Film
2002,Monsoon Wedding,False,International Feature Film
2002,The Piano Teacher,False,International Feature Film
2003,Talk to Her,True,International Feature Film
2003,City of God,False,International Feature Film
2003,Devdas,False,International Feature Film
2003,The Warrior,False,International Feature Film
2003,Y Tu Mamá También,False,International Feature Film
2004,In This World,True,International Feature Film
2004,The Barbarian Invasion,False,International Feature Film
2004,"Good Bye, Lenin!",False,International Feature Film
2004,Spirited Away,False,International Feature Film
2004,To Be and to Have,False,International Feature Film
2004,Belleville Rendez-vous,False,International Feature Film
2005,The Motorcycle Diaries,True,International Feature Film
2005,Bad Education,False,International Feature Film
2005,The Chorus (Les Choristes),False,International Feature Film
2005,House of Flying Daggers,False,International Feature Film
2005,A Very Long Engagement,False,International Feature Film
2006,The Beat That My Heart Skipped,True,International Feature Film
2006,Joyeux Noël,False,International Feature Film
2006,Kung Fu Hustle,False,International Feature Film
2006,La Grand Voyage,False,International Feature Film
2006,Tsotsi,False,International Feature Film
2007,Pan's Labyrinth,True,International Feature Film
2007,Apocalypto,False,International Feature Film
2007,Black Book,False,International Feature Film
2007,Rang De Basanti,False,International Feature Film
2007,Volver,False,International Feature Film
2008,The Lives of Others,True,International Feature Film
2008,The Driving Bell and the Butterfly,False,International Feature Film
2008,The Kite Runner,False,International Feature Film
2008,La Vie en Rose,False,International Feature Film
2008,"Lust, Caution",False,International Feature Film
2009,I've Loved You So Long,True,International Feature Film
2009,The Beader Meinhof Complex,False,International Feature Film
2009,Gomorrah,False,International Feature Film
2009,Persepolis,False,International Feature Film
2009,Waltz with Bashir,False,International Feature Film
2010,A Prophet,True,International Feature Film
2010,Broken Embraces,False,International Feature Film
2010,Coco Before Chanel,False,International Feature Film
2010,Let the Right One In,False,International Feature Film
2010,The White Ribbon,False,International Feature Film
2011,The Girl with the Dragon Tattoo,True,International Feature Film
2011,I Am Love,False,International Feature Film
2011,Biutiful,False,International Feature Film
2011,Of Gods and Men,False,International Feature Film
2011,The Secret in Their Eyes,False,International Feature Film
2012,The Skin I Live In,True,International Feature Film
2012,Incendies,False,International Feature Film
2012,Pina,False,International Feature Film
2012,Potiche,False,International Feature Film
2012,A Separation,False,International Feature Film
2013,Amour,True,International Feature Film
2013,Headhunters,False,International Feature Film
2013,The Hunt,False,International Feature Film
2013,Rust and Bone,False,International Feature Film
2013,The Intouchables,False,International Feature Film
2014,The Great Beauty,True,International Feature Film
2014,The Act of Killing,False,International Feature Film
2014,Blue is the Warmest Colour,False,International Feature Film
2014,Metro Manila,False,International Feature Film
2014,Wadjda,False,International Feature Film
2015,Ida,True,International Feature Film
2015,Leviathan,False,International Feature Film
2015,The Lunchbox,False,International Feature Film
2015,Trash,False,International Feature Film
2015,"Two Days, One Night",False,International Feature Film
2016,Wild Tales,True,International Feature Film
2016,The Assassin,False,International Feature Film
2016,Force Majeure,False,International Feature Film
2016,Theeb,False,International Feature Film
2016,Timbuktu,False,International Feature Film
2017,Son of Saul,True,International Feature Film
2017,Dheepan,False,International Feature Film
2017,Julieta,False,International Feature Film
2017,Mustang,False,International Feature Film
2017,Toni Erdmann,False,International Feature Film
2018,The Handmaiden,True,International Feature Film
2018,Elle,False,International Feature Film
2018,First They Killed My Father,False,International Feature Film
2018,Loveless,False,International Feature Film
2018,The Salesman,False,International Feature Film
2019,Roma,True,International Feature Film
2019,Capernaum,False,International Feature Film
2019,Cold War,False,International Feature Film
2019,Dogman,False,International Feature Film
2019,Shoplifers,False,International Feature Film
2020,Parasite,True,International Feature Film
2020,The Farewell,False,International Feature Film
2020,For Sama,False,International Feature Film
2020,Pain and Glory,False,International Feature Film
2020,Portrait of a Lady on Fire,False,International Feature Film
2021,Another Round,True,International Feature Film
2021,Dear Comrades!,False,International Feature Film
2021,Les Misérables (2019),False,International Feature Film
2021,Minari,False,International Feature Film
2021,"Quo Vadis, Aida?",False,International Feature Film
2022,Drive My Car,True,International Feature Film
2022,The Hand of God,False,International Feature Film
2022,Parallel Mothers,False,International Feature Film
2022,Petite Maman,False,International Feature Film
2022,The Worst Person in the World,False,International Feature Film
2023,All Quiet on the Western Front,True,International Feature Film
2023,"Argentina, 1985",False,International Feature Film
2023,Corsage,False,International Feature Film
2023,Decision to Leave,False,International Feature Film
2023,The Quiet Girl,False,International Feature Film
