year_film,year_ceremony,ceremony,category,name,film,winner
2001,2002,74,Actor in a Leading Role,Russell Crowe,A Beautiful Mind,True
2001,2002,74,Actor in a Leading Role,Kevin Kline,Life as a House,False
2001,2002,74,Actor in a Leading Role,Sean Penn,I Am Sam,False
2001,2002,74,Actor in a Leading Role,Denzel Washington,Training Day,False
2001,2002,74,Actor in a Leading Role,Tom Wilkinson,In the Bedroom,False
2001,2002,74,Actress in a Leading Role,Halle Berry,Monster's Ball,True
2001,2002,74,Actress in a Leading Role,Jennifer Connelly,A Beautiful Mind,False
2001,2002,74,Actress in a Leading Role,Judy Dench,Iris,False
2001,2002,74,Actress in a Leading Role,Sissy Spacek,In the Bedroom,False
2001,2002,74,Actress in a Leading Role,Renée Zellweger,Bridget Jones's Diary,False
2001,2002,74,Actor in a Supporting Role,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,True
2001,2002,74,Actor in a Supporting Role,Jim Broadbent,Iris,False
2001,2002,74,Actor in a Supporting Role,Hayden Christensen,Life as a House,False
2001,2002,74,Actor in a Supporting Role,Ethan Hawke,Training Day,False
2001,2002,74,Actor in a Supporting Role,Ben Kingsley,Sexy Beast,False
2001,2002,74,Actress in a Supporting Role,Helen Mirren,Gosford Park,True
2001,2002,74,Actress in a Supporting Role,Cate Blanchett,Bandits,False
2001,2002,74,Actress in a Supporting Role,Judi Dench,The Shipping News,False
2001,2002,74,Actress in a Supporting Role,Cameron Diaz,Vanilla Sky,False
2001,2002,74,Actress in a Supporting Role,Dakota Fanning,I Am Sam,False
2002,2003,75,Actor in a Leading Role,Daniel Day-Lewis,Gangs of New York,True
2002,2003,75,Actor in a Leading Role,Adrien Brody,The Pianist,False
2002,2003,75,Actor in a Leading Role,Nicolas Cage,Adaptation,False
2002,2003,75,Actor in a Leading Role,Richard Gere,Chicago,False
2002,2003,75,Actor in a Leading Role,Jack Nicholson,About Schmidt,False
2002,2003,75,Actress in a Leading Role,Renée Zellweger,Chicago,True
2002,2003,75,Actress in a Leading Role,Salma Hayek,Frida,False
2002,2003,75,Actress in a Leading Role,Nicole Kidman,The Hours,False
2002,2003,75,Actress in a Leading Role,Diane Lane,Unfaithful,False
2002,2003,75,Actress in a Leading Role,Julianne Moore,Far from Heaven,False
2002,2003,75,Actor in a Supporting Role,Christopher Walken,Catch Me if You Can,True
2002,2003,75,Actor in a Supporting Role,Chris Cooper,Adaptation,False
2002,2003,75,Actor in a Supporting Role,Ed Harris,The Hours,False
2002,2003,75,Actor in a Supporting Role,Alfred Molina,Frida,False
2002,2003,75,Actor in a Supporting Role,Dennis Quaid,Far from Heaven,False
2002,2003,75,Actress in a Supporting Role,Catherine Zeta-Jones,Chicago,True
2002,2003,75,Actress in a Supporting Role,Kathy Bates,About Schmidt,False
2002,2003,75,Actress in a Supporting Role,Julianne Moore,The Hours,False
2002,2003,75,Actress in a Supporting Role,Michelle Pfeiffer,White Oleander,False
2002,2003,75,Actress in a Supporting Role,Queen Latifah,Chicago,False
2003,2004,76,Actor in a Leading Role,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,True
2003,2004,76,Actor in a Leading Role,Peter Dinklage,The Station Agent,False
2003,2004,76,Actor in a Leading Role,Ben Kingsley,House of Sand and Fog,False
2003,2004,76,Actor in a Leading Role,Bill Murray,Lost in Translation,False
2003,2004,76,Actor in a Leading Role,Sean Penn,Mystic River,False
2003,2004,76,Actress in a Leading Role,Charlize Theron,Monster,True
2003,2004,76,Actress in a Leading Role,Patricia Clarkson,The Station Agent,False
2003,2004,76,Actress in a Leading Role,Diane Keaton,Something's Gotta Give,False
2003,2004,76,Actress in a Leading Role,Naomi Watts,21 Grams,False
2003,2004,76,Actress in a Leading Role,Evan Rachel Wood,Thirteen,False
2003,2004,76,Actor in a Supporting Role,Tim Robbins,Mystic River,True
2003,2004,76,Actor in a Supporting Role,Alec Baldwin,The Cooler,False
2003,2004,76,Actor in a Supporting Role,Chris Cooper,Seabiscuit,False
2003,2004,76,Actor in a Supporting Role,Benicio del Toro,21 Grams,False
2003,2004,76,Actor in a Supporting Role,Ken Watanabe,The Last Samurai,False
2003,2004,76,Actress in a Supporting Role,Renée Zellweger,Cold Mountain,True
2003,2004,76,Actress in a Supporting Role,Maria Bello,The Cooler,False
2003,2004,76,Actress in a Supporting Role,Keisha Castle-Hughes,Whale Rider,False
2003,2004,76,Actress in a Supporting Role,Patricia Clarkson,Pieces of April,False
2003,2004,76,Actress in a Supporting Role,Holly Hunter,Thirteen,False
2004,2005,77,Actor in a Leading Role,Jamie Foxx,Ray,True
2004,2005,77,Actor in a Leading Role,Don Cheadle,Hotel Rwanda,False
2004,2005,77,Actor in a Leading Role,Johnny Depp,Finding Neverland,False
2004,2005,77,Actor in a Leading Role,Leonardo DiCaprio,The Aviator,False
2004,2005,77,Actor in a Leading Role,Paul Giamatti,Sideways,False
2004,2005,77,Actress in a Leading Role,Hilary Swank,Million Dollar Baby,True
2004,2005,77,Actress in a Leading Role,Annette Bening,Being Julia,False
2004,2005,77,Actress in a Leading Role,Catalina Sandino Moreno,Maria Full of Grace,False
2004,2005,77,Actress in a Leading Role,Imelda Staunton,Vera Drake,False
2004,2005,77,Actress in a Leading Role,Kate Winslet,Eternal SUnshine,False
2004,2005,77,Actor in a Supporting Role,Morgan Freeman,Million Dollar Baby,True
2004,2005,77,Actor in a Supporting Role,Thomas Haden Church,Sideways,False
2004,2005,77,Actor in a Supporting Role,Jamie Foxx,Collateral,False
2004,2005,77,Actor in a Supporting Role,James Garner,The Notebook,False
2004,2005,77,Actor in a Supporting Role,Freddie Highmore,Finding Neverland,False
2004,2005,77,Actress in a Supporting Role,Cate Blanchett,The Aviator,True
2004,2005,77,Actress in a Supporting Role,Cloris Leachman,Spanglish,False
2004,2005,77,Actress in a Supporting Role,Laura Linney,Kinsey,False
2004,2005,77,Actress in a Supporting Role,Virginia Madsen,Sideways,False
2004,2005,77,Actress in a Supporting Role,Sophie Okonedo,Hotel Rwanda,False
2005,2006,78,Actor in a Leading Role,Philip Seymour Hoffman,Capote,True
2005,2006,78,Actor in a Leading Role,Russell Crowe,Cinderella Man,False
2005,2006,78,Actor in a Leading Role,Heath Ledger,Brokeback Mountain,False
2005,2006,78,Actor in a Leading Role,Joaquin Phoenix,Walk the Line,False
2005,2006,78,Actor in a Leading Role,David Strathairn,"Good Night, and Good Luck.",False
2005,2006,78,Actress in a Leading Role,Reese Whiterspoon,Walk the Line,True
2005,2006,78,Actress in a Leading Role,Judi Dench,Mrs Henderson Presents,False
2005,2006,78,Actress in a Leading Role,Felicity Huffman,Transamerica,False
2005,2006,78,Actress in a Leading Role,Charlize Theron,North Country,False
2005,2006,78,Actress in a Leading Role,Ziyi Zhang,Memoirs of a Geisha,False
2005,2006,78,Actor in a Supporting Role,Paul Giamatti,Cinderella Man,True
2005,2006,78,Actor in a Supporting Role,Don Cheadle,Crash,False
2005,2006,78,Actor in a Supporting Role,George Clooney,Syriana,False
2005,2006,78,Actor in a Supporting Role,Matt Dillon,Crash,False
2005,2006,78,Actor in a Supporting Role,Jake Gyllenhaal,Brokeback Mountain,False
2005,2006,78,Actress in a Supporting Role,Rachel Weisz,The Constant Gardener,True
2005,2006,78,Actress in a Supporting Role,Amy Adams,Junebug,False
2005,2006,78,Actress in a Supporting Role,Catherine Keener,Capote,False
2005,2006,78,Actress in a Supporting Role,Frances McDormand,North Country,False
2005,2006,78,Actress in a Supporting Role,Michelle Williams,Brokeback Mountain,False
2006,2007,79,Actor in a Leading Role,Forest Whitaker,The Last King of Scotland,True
2006,2007,79,Actor in a Leading Role,Leonardo DiCaprio,Blood Diamond,False
2006,2007,79,Actor in a Leading Role,Ryan Gosling,Half Nelson,False
2006,2007,79,Actor in a Leading Role,Peter O'Toole,Venus,False
2006,2007,79,Actor in a Leading Role,Will Smith,The Pursuit of Happyness,False
2006,2007,79,Actress in a Leading Role,Helen Mirren,The Queen,True
2006,2007,79,Actress in a Leading Role,Penélope Cruz,Volver,False
2006,2007,79,Actress in a Leading Role,Judi Dench,Notes on a Scandal,False
2006,2007,79,Actress in a Leading Role,Meryl Streep,The Devil Wears Prada,False
2006,2007,79,Actress in a Leading Role,Kate Winslet,Little Children,False
2006,2007,79,Actor in a Supporting Role,Eddie Murphy,Dreamgirls,True
2006,2007,79,Actor in a Supporting Role,Alan Arkin,Little Miss Sunshine,False
2006,2007,79,Actor in a Supporting Role,Leonardo DiCaprio,The Departed,False
2006,2007,79,Actor in a Supporting Role,Jackie Earle Haley,Little Children,False
2006,2007,79,Actor in a Supporting Role,Djimon Hounsou,Blood Diamond,False
2006,2007,79,Actress in a Supporting Role,Jennifer Hudson,Dreamgirls,True
2006,2007,79,Actress in a Supporting Role,Adriana Barraza,Babel,False
2006,2007,79,Actress in a Supporting Role,Cate Blanchett,Notes on a Scandal,False
2006,2007,79,Actress in a Supporting Role,Abigail Breslin,Little Miss Sunshine,False
2006,2007,79,Actress in a Supporting Role,Rinko Kikuchi,Babel,False
2007,2008,80,Actor in a Leading Role,Daniel Day-Lewis,There Will be Blood,True
2007,2008,80,Actor in a Leading Role,George Clooney,Michael Clayton,False
2007,2008,80,Actor in a Leading Role,Ryan Gosling,Lars and the Real Girl,False
2007,2008,80,Actor in a Leading Role,Emile Hirsch,Into the Wild,False
2007,2008,80,Actor in a Leading Role,Viggo Mortensen,Eastern Promises,False
2007,2008,80,Actress in a Leading Role,Julie Christie,Away from Her,True
2007,2008,80,Actress in a Leading Role,Cate Blanchett,Elizabeth: The Golden Age,False
2007,2008,80,Actress in a Leading Role,Marion Cotillard,La Vie en Rose,False
2007,2008,80,Actress in a Leading Role,Angelina Jolie,A Mighty Heart,False
2007,2008,80,Actress in a Leading Role,Elliot Page,Juno,False
2007,2008,80,Actor in a Supporting Role,Javier Bardem,No Country for Old Men,True
2007,2008,80,Actor in a Supporting Role,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford,False
2007,2008,80,Actor in a Supporting Role,Hal Holbrook,Into the Wild,False
2007,2008,80,Actor in a Supporting Role,Tommy Lee Jones,No Country for Old Men,False
2007,2008,80,Actor in a Supporting Role,Tom Wilkinson,Michael Clayton,False
2007,2008,80,Actress in a Supporting Role,Ruby Dee,American Gangster,True
2007,2008,80,Actress in a Supporting Role,Cate Blanchett,I'm Not There,False
2007,2008,80,Actress in a Supporting Role,Catherine Keener,Into the Wild,False
2007,2008,80,Actress in a Supporting Role,Amy Ryan,Gone Baby Gone,False
2007,2008,80,Actress in a Supporting Role,Tilda Swinton,Michael Clayton,False
2008,2009,81,Actor in a Leading Role,Sean Penn,Milk,True
2008,2009,81,Actor in a Leading Role,Richard Jenkins,The Visitor,False
2008,2009,81,Actor in a Leading Role,Frank Langella,Frost/Nixon,False
2008,2009,81,Actor in a Leading Role,Brad Pitt,The Curious Case of Benjamin Button,False
2008,2009,81,Actor in a Leading Role,Mickey Rourke,The Wrestler,False
2008,2009,81,Actress in a Leading Role,Meryl Streep,Doubt,True
2008,2009,81,Actress in a Leading Role,Anne Hathaway,Rachel Getting Married,False
2008,2009,81,Actress in a Leading Role,Angelina Jolie,Changeling,False
2008,2009,81,Actress in a Leading Role,Melissa Leo,Frozen River,False
2008,2009,81,Actress in a Leading Role,Kate Winslet,Revolutionary Road,False
2008,2009,81,Actor in a Supporting Role,Heath Ledger,The Dark Knight,True
2008,2009,81,Actor in a Supporting Role,Josh Brolin,Milk,False
2008,2009,81,Actor in a Supporting Role,Robert Downey Jr.,Tropic Thunder,False
2008,2009,81,Actor in a Supporting Role,Philip Seymour Hoffman,Doubt,False
2008,2009,81,Actor in a Supporting Role,Dev Patel,Slumdog Millionaire,False
2008,2009,81,Actress in a Supporting Role,Kate Winslet,The Reader,True
2008,2009,81,Actress in a Supporting Role,Amy Adams,Doubt,False
2008,2009,81,Actress in a Supporting Role,Penélope Cruz,Vicky Cristina Barcelona,False
2008,2009,81,Actress in a Supporting Role,Viola Davis,Doubt,False
2008,2009,81,Actress in a Supporting Role,Taraji P. Henson,The Curious Case of Benjamin Button,False
2009,2010,82,Actor in a Leading Role,Jeff Bridges,Crazy Heart,True
2009,2010,82,Actor in a Leading Role,George Clooney,Up in the Air,False
2009,2010,82,Actor in a Leading Role,Colin Firth,A Single Man,False
2009,2010,82,Actor in a Leading Role,Morgan Freeman,Invictus,False
2009,2010,82,Actor in a Leading Role,Jeremy Renner,The Hurt Locker,False
2009,2010,82,Actress in a Leading Role,Sandra Bullock,The Blind Side,True
2009,2010,82,Actress in a Leading Role,Helen Mirren,The Last Station,False
2009,2010,82,Actress in a Leading Role,Carey Mulligan,An Education,False
2009,2010,82,Actress in a Leading Role,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire,False
2009,2010,82,Actress in a Leading Role,Meryl Streep,Julie & Julia,False
2009,2010,82,Actor in a Supporting Role,Christoph Waltz,Inglourious Basterds,True
2009,2010,82,Actor in a Supporting Role,Matt Damon,Invictus,False
2009,2010,82,Actor in a Supporting Role,Woody Harrelson,The Messenger,False
2009,2010,82,Actor in a Supporting Role,Christopher Plummer,The Last Station,False
2009,2010,82,Actor in a Supporting Role,Stanley Tucci,The Lovely Bones,False
2009,2010,82,Actress in a Supporting Role,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire,True
2009,2010,82,Actress in a Supporting Role,Penélope Cruz,Nine,False
2009,2010,82,Actress in a Supporting Role,Vera Farmiga,Up in the Air,False
2009,2010,82,Actress in a Supporting Role,Anna Kendrick,Up in the Air,False
2009,2010,82,Actress in a Supporting Role,Diane Kruger,Inglourious Basterds,False
2010,2011,83,Actor in a Leading Role,Colin Firth,The King's Speech,True
2010,2011,83,Actor in a Leading Role,Jeff Bridges,True Grit,False
2010,2011,83,Actor in a Leading Role,Robert Duvall,Get Low,False
2010,2011,83,Actor in a Leading Role,Jesse Eisenberg,The Social Network,False
2010,2011,83,Actor in a Leading Role,James Franco,127 Hours,False
2010,2011,83,Actress in a Leading Role,Natalie Portman,Black Swan,True
2010,2011,83,Actress in a Leading Role,Annette Bening,The Kids Are All Right,False
2010,2011,83,Actress in a Leading Role,Nicole Kidman,Rabbit Hole,False
2010,2011,83,Actress in a Leading Role,Jennifer Lawrence,Winter's Bone,False
2010,2011,83,Actress in a Leading Role,Hilary Swank,Conviction,False
2010,2011,83,Actor in a Supporting Role,Christian Bale,The Fighter,True
2010,2011,83,Actor in a Supporting Role,John Hawkes,Winter's Bone,False
2010,2011,83,Actor in a Supporting Role,Jeremy Renner,The Town,False
2010,2011,83,Actor in a Supporting Role,Mark Ruffalo,The Kids Are All Right,False
2010,2011,83,Actor in a Supporting Role,Geoffrey Rush,The King's Speech,False
2010,2011,83,Actress in a Supporting Role,Melissa Leo,The Fighter,True
2010,2011,83,Actress in a Supporting Role,Amy Adams,The Fighter,False
2010,2011,83,Actress in a Supporting Role,Helena Bonham Carter,The King's Speech,False
2010,2011,83,Actress in a Supporting Role,Mila Kunis,Black Swan,False
2010,2011,83,Actress in a Supporting Role,Hailee Steinfeld,True Grit,False
2011,2012,84,Actor in a Leading Role,Jean Dujardin,The Artist,True
2011,2012,84,Actor in a Leading Role,Demián Bichir,A Better Life,False
2011,2012,84,Actor in a Leading Role,George Clooney,The Descendants,False
2011,2012,84,Actor in a Leading Role,Leonardo DiCaprio,J. Edgar,False
2011,2012,84,Actor in a Leading Role,Brad Pitt,Moneyball,False
2011,2012,84,Actress in a Leading Role,Viola Davis,The Help,True
2011,2012,84,Actress in a Leading Role,Glenn Close,Albert Nobbs,False
2011,2012,84,Actress in a Leading Role,Meryl Streep,The Iron Lady,False
2011,2012,84,Actress in a Leading Role,Tilda Swinton,We Need to Talk About Kevin,False
2011,2012,84,Actress in a Leading Role,Michelle Williams,My Week with Marilyn,False
2011,2012,84,Actor in a Supporting Role,Christopher Plummer,Beginners,True
2011,2012,84,Actor in a Supporting Role,Kenneth Branagh,My Week with Marilyn,False
2011,2012,84,Actor in a Supporting Role,Arnie Hammer,J. Edgar,False
2011,2012,84,Actor in a Supporting Role,Jonah Hill,Moneyball,False
2011,2012,84,Actor in a Supporting Role,Nick Nolte,Warrior,False
2011,2012,84,Actress in a Supporting Role,Octavia Spencer,The Help,True
2011,2012,84,Actress in a Supporting Role,Berénice Bejo,The Artist,False
2011,2012,84,Actress in a Supporting Role,Jessica Chastain,The Help,False
2011,2012,84,Actress in a Supporting Role,Melissa McCarthy,Bridesmaids,False
